"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\package-lock.json", "JSON", 2062, 0, 0, 0, 0, 0, 0, 0, 1, 2063
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\scripts\dbInit.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\scripts\tablesInit.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 9, 103
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\addAdmin.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\addHospital.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\app.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 9, 24, 112
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\config\db.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\adminController.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 9, 101
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\alertController.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\authController.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 6, 20, 101
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\hospitalController.js", "JavaScript", 0, 229, 0, 0, 0, 0, 0, 24, 54, 307
"c:\Users\ikapa\OneDrive\Desktop\cardioGuard\backend\src\controllers\otpController.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 1, 26, 151
